"datetime,symbol,strategy,signal,score,pattern,trend,is_vol,is_extreme,status,code,response"
2025-06-09 10:40:04.323903,USD_JPY,RANGE-SCALP-MID-LITE,BUY,0,NEUTRAL,DOWNTREND,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:40:07.026275,USD_JPY,RANGE-SCALP-MID-LITE,SELL,1,NEUTRAL,DOWNTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"590" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"590" "requestID":"79395445026619406" "time":"2025-06-09T14:40:06.971601647Z" "type":"LIMIT_ORDER" "instrument":"USD_JPY" "units":"50000" "price":"144.670" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"144.663" "timeInForce":"GTC"} "stopLossOnFill":{"price":"144.676" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["590"] "lastTransactionID":"590"}
2025-06-09 10:45:01.325265,EUR_USD,VOLUME-EXPLOSION-LITE,BUY,1,INVERTED_HAMMER,UPTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"592" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"592" "requestID":"97409844773709138" "time":"2025-06-09T14:45:01.275595726Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14002" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.14102" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.13302" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["592"] "lastTransactionID":"592"}
2025-06-09 10:45:01.454959,EUR_USD,VOLUME-EXPLOSION-LITE,SELL,0,INVERTED_HAMMER,UPTREND,False,False,IGNORED,0,점수 부쇄
2025-06-09 10:55:02.556417,USD_JPY,RANGE-SCALP-MID-LITE,SELL,1,NEUTRAL,DOWNTREND,False,False,SENT,201,{"orderCreateTransaction":{"id":"593" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"593" "requestID":"115424245804317211" "time":"2025-06-09T14:55:02.498055031Z" "type":"LIMIT_ORDER" "instrument":"USD_JPY" "units":"50000" "price":"144.597" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"144.590" "timeInForce":"GTC"} "stopLossOnFill":{"price":"144.603" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["593"] "lastTransactionID":"593"}
2025-06-09 10:55:03.550644,USD_JPY,RANGE-SCALP-MID-LITE,BUY,0,NEUTRAL,DOWNTREND,False,False,IGNORED,0,점수 부쇄(0/1)
2025-06-09 11:00:05.431152,EUR_USD,BREAKOUT-MOMENTUM-LITE,SELL,0,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부쇄(0/1)
2025-06-09 11:00:06.462622,EUR_USD,BREAKOUT-MOMENTUM-LITE,BUY,0,DOJI,NEUTRAL,False,False,IGNORED,0,점수 부쇄(0/1)
2025-06-09 13:10:03.710092,EUR_USD,RANGE-SCALP-MID-LITE,BUY,1,HAMMER,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"621" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"621" "requestID":"79395482761404350" "time":"2025-06-09T17:10:03.655305852Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14180" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.14880" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.13580" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "relatedTransactionIDs":["621"] "lastTransactionID":"621"}
2025-06-09 13:10:04.003688,EUR_USD,RANGE-SCALP-MID-LITE,SELL,1,HAMMER,NEUTRAL,False,False,SENT,201,{"orderCreateTransaction":{"id":"622" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"622" "requestID":"97409881271567436" "time":"2025-06-09T17:10:03.947362031Z" "type":"LIMIT_ORDER" "instrument":"EUR_USD" "units":"50000" "price":"1.14240" "timeInForce":"GTC" "triggerCondition":"DEFAULT" "partialFill":"DEFAULT" "positionFill":"DEFAULT" "takeProfitOnFill":{"price":"1.13540" "timeInForce":"GTC"} "stopLossOnFill":{"price":"1.14840" "timeInForce":"GTC" "triggerMode":"TOP_OF_BOOK"} "reason":"CLIENT_ORDER"} "orderCancelTransaction":{"id":"623" "accountID":"101-001-30264285-002" "userID":30264285 "batchID":"622" "requestID":"97409881271567436" "time":"2025-06-09T17:10:03.947362031Z" "type":"ORDER_CANCEL" "orderID":"622" "reason":"TAKE_PROFIT_ON_FILL_LOSS"} "relatedTransactionIDs":["622" "623"] "lastTransactionID":"623"}
