time,open,high,low,close,volume
2025-06-10T23:30:00.000000000Z,1.35034,1.35104,1.35033,1.35076,2676
2025-06-11T00:00:00.000000000Z,1.35077,1.35102,1.34982,1.34999,6444
2025-06-11T00:30:00.000000000Z,1.34998,1.3506,1.34912,1.34923,6253
2025-06-11T01:00:00.000000000Z,1.34923,1.34958,1.34902,1.34932,4002
2025-06-11T01:30:00.000000000Z,1.34932,1.34936,1.34752,1.34764,4623
2025-06-11T02:00:00.000000000Z,1.34764,1.34826,1.34746,1.34795,3714
2025-06-11T02:30:00.000000000Z,1.34796,1.34829,1.34782,1.34802,2707
2025-06-11T03:00:00.000000000Z,1.34802,1.34806,1.34754,1.34768,2635
2025-06-11T03:30:00.000000000Z,1.34766,1.3484,1.34765,1.34823,2436
2025-06-11T04:00:00.000000000Z,1.34822,1.34862,1.34774,1.3483,2332
2025-06-11T04:30:00.000000000Z,1.3483,1.34864,1.3481,1.34828,2267
2025-06-11T05:00:00.000000000Z,1.34828,1.34856,1.34808,1.34846,2349
2025-06-11T05:30:00.000000000Z,1.34845,1.34917,1.34816,1.34904,2579
2025-06-11T06:00:00.000000000Z,1.34902,1.34914,1.34713,1.34726,3619
2025-06-11T06:30:00.000000000Z,1.34724,1.34818,1.34658,1.34672,3967
2025-06-11T07:00:00.000000000Z,1.34673,1.34763,1.34644,1.34729,4860
2025-06-11T07:30:00.000000000Z,1.34729,1.34894,1.34694,1.34835,4946
2025-06-11T08:00:00.000000000Z,1.34834,1.34964,1.34802,1.34918,4891
2025-06-11T08:30:00.000000000Z,1.34919,1.34965,1.3487,1.34946,4668
2025-06-11T09:00:00.000000000Z,1.34945,1.34988,1.34902,1.34975,4362
2025-06-11T09:30:00.000000000Z,1.34976,1.35059,1.3493,1.34974,4306
2025-06-11T10:00:00.000000000Z,1.34978,1.35033,1.34956,1.34958,3747
2025-06-11T10:30:00.000000000Z,1.34959,1.3502,1.34937,1.34963,3219
2025-06-11T11:00:00.000000000Z,1.34964,1.34974,1.34852,1.34873,3721
2025-06-11T11:30:00.000000000Z,1.34874,1.3497,1.34848,1.34952,4346
2025-06-11T12:00:00.000000000Z,1.34952,1.3502,1.34884,1.35,7591
2025-06-11T12:30:00.000000000Z,1.35002,1.35499,1.34952,1.3519,14220
2025-06-11T13:00:00.000000000Z,1.35191,1.35306,1.35087,1.35092,9600
2025-06-11T13:30:00.000000000Z,1.35092,1.35194,1.35018,1.35186,8585
2025-06-11T14:00:00.000000000Z,1.35186,1.35382,1.35166,1.35355,7345
2025-06-11T14:30:00.000000000Z,1.35354,1.35452,1.3532,1.3539,6001
2025-06-11T15:00:00.000000000Z,1.3539,1.35464,1.3533,1.35452,5890
2025-06-11T15:30:00.000000000Z,1.35452,1.35581,1.3544,1.35552,5144
2025-06-11T16:00:00.000000000Z,1.35552,1.35574,1.35413,1.35466,4254
2025-06-11T16:30:00.000000000Z,1.35466,1.35531,1.35436,1.35497,3267
2025-06-11T17:00:00.000000000Z,1.35499,1.35624,1.35472,1.35602,3217
2025-06-11T17:30:00.000000000Z,1.35603,1.35646,1.35523,1.35627,3057
2025-06-11T18:00:00.000000000Z,1.35629,1.35676,1.35504,1.35512,5440
2025-06-11T18:30:00.000000000Z,1.35516,1.35586,1.35477,1.35477,4754
2025-06-11T19:00:00.000000000Z,1.35475,1.35484,1.35392,1.35399,3278
2025-06-11T19:30:00.000000000Z,1.354,1.35432,1.35361,1.35384,2825
2025-06-11T20:00:00.000000000Z,1.35383,1.35446,1.3538,1.35432,1352
2025-06-11T20:30:00.000000000Z,1.35436,1.35483,1.3543,1.35464,1684
2025-06-11T21:00:00.000000000Z,1.35462,1.35509,1.35458,1.3546,58
2025-06-11T21:30:00.000000000Z,1.35466,1.35504,1.35458,1.35498,1288
